"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 03 13:20:43 CST 2023","Wed May 03 13:20:46 CST 2023","3316","Work.TestCase","TestCase","Test_shouye","","","点击首页书籍",""
"passed","Wed May 03 13:25:22 CST 2023","Wed May 03 13:25:52 CST 2023","30012","Work.TestCase","TestCase","Test_paihangbang","","","点击书籍的作者",""
"passed","Wed May 03 13:53:23 CST 2023","Wed May 03 13:53:53 CST 2023","30005","Work.TestCase","TestCase","Test_zuojiazhuanqu","","","点击作品分类",""
"passed","Wed May 03 13:40:52 CST 2023","Wed May 03 13:41:22 CST 2023","30007","Work.TestCase","TestCase","Test_chongzhi","","","点击作品分类",""
"passed","Wed May 03 14:04:23 CST 2023","Wed May 03 14:04:53 CST 2023","30016","Work.TestCase","TestCase","Test_yonghuxinxi","","","点击作品分类",""
"passed","Wed May 03 13:21:20 CST 2023","Wed May 03 13:21:25 CST 2023","4309","Work.TestCase","TestCase","Test_shouye","","","点击首页书籍",""
"passed","Wed May 03 14:02:23 CST 2023","Wed May 03 14:02:53 CST 2023","30011","Work.TestCase","TestCase","Test_yonghuxinxi","","","点击作品分类",""
"passed","Wed May 03 13:27:22 CST 2023","Wed May 03 13:27:52 CST 2023","30002","Work.TestCase","TestCase","Test_paihangbang","","","点击书籍的作者",""
"passed","Wed May 03 13:48:53 CST 2023","Wed May 03 13:49:23 CST 2023","30002","Work.TestCase","TestCase","Test_zuojiazhuanqu","","","点击作品分类",""
"failed","Wed May 03 13:45:22 CST 2023","Wed May 03 13:45:52 CST 2023","30014","Work.TestCase","TestCase","Test_chongzhi","","","点击作品分类",""
"passed","Wed May 03 13:31:22 CST 2023","Wed May 03 13:31:52 CST 2023","30014","Work.TestCase","TestCase","Test_chongzhi","","","点击作品分类",""
"passed","Wed May 03 13:30:52 CST 2023","Wed May 03 13:31:22 CST 2023","30009","Work.TestCase","TestCase","Test_chongzhi","","","点击作品分类",""
"passed","Wed May 03 14:25:24 CST 2023","Wed May 03 14:26:24 CST 2023","60012","Work.TestCase","TestCase","Test_shujiyuedu","","","点击作品分类",""
"failed","Wed May 03 14:18:24 CST 2023","Wed May 03 14:18:54 CST 2023","30012","Work.TestCase","TestCase","Test_yonghuxinxi","","","点击作品分类",""
"passed","Wed May 03 13:29:22 CST 2023","Wed May 03 13:29:52 CST 2023","30015","Work.TestCase","TestCase","Test_chongzhi","","","点击作品分类",""
"passed","Wed May 03 13:22:48 CST 2023","Wed May 03 13:22:50 CST 2023","1213","Work.TestCase","TestCase","Test_quanbuzuopin","","","点击书的类别",""
"passed","Wed May 03 13:54:53 CST 2023","Wed May 03 13:55:23 CST 2023","30011","Work.TestCase","TestCase","Test_zuojiazhuanqu","","","点击作品分类",""
"passed","Wed May 03 13:42:22 CST 2023","Wed May 03 13:42:52 CST 2023","30007","Work.TestCase","TestCase","Test_chongzhi","","","点击作品分类",""
"passed","Wed May 03 13:21:25 CST 2023","Wed May 03 13:21:29 CST 2023","3771","Work.TestCase","TestCase","Test_shouye","","","点击首页书籍",""
"passed","Wed May 03 13:49:53 CST 2023","Wed May 03 13:50:23 CST 2023","30010","Work.TestCase","TestCase","Test_zuojiazhuanqu","","","点击作品分类",""
"passed","Wed May 03 13:20:32 CST 2023","Wed May 03 13:20:40 CST 2023","7769","Work.TestCase","TestCase","Test_shouye","","","登录",""
"failed","Wed May 03 13:22:44 CST 2023","Wed May 03 13:22:48 CST 2023","3946","Work.TestCase","TestCase","Test_quanbuzuopin","","","按更新时间、点击量排序",""
"passed","Wed May 03 13:46:52 CST 2023","Wed May 03 13:47:22 CST 2023","30008","Work.TestCase","TestCase","Test_chongzhi","","","点击作品分类",""
"passed","Wed May 03 13:43:22 CST 2023","Wed May 03 13:43:52 CST 2023","30008","Work.TestCase","TestCase","Test_chongzhi","","","点击作品分类",""
"passed","Wed May 03 13:36:52 CST 2023","Wed May 03 13:37:22 CST 2023","30003","Work.TestCase","TestCase","Test_chongzhi","","","点击作品分类",""
"passed","Wed May 03 13:34:22 CST 2023","Wed May 03 13:34:52 CST 2023","30014","Work.TestCase","TestCase","Test_chongzhi","","","点击作品分类",""
"passed","Wed May 03 14:16:54 CST 2023","Wed May 03 14:17:24 CST 2023","30012","Work.TestCase","TestCase","Test_yonghuxinxi","","","点击作品分类",""
"passed","Wed May 03 14:02:53 CST 2023","Wed May 03 14:03:23 CST 2023","30013","Work.TestCase","TestCase","Test_yonghuxinxi","","","点击作品分类",""
"passed","Wed May 03 13:26:52 CST 2023","Wed May 03 13:27:22 CST 2023","30014","Work.TestCase","TestCase","Test_paihangbang","","","点击书籍的章节",""
"passed","Wed May 03 13:20:46 CST 2023","Wed May 03 13:20:50 CST 2023","3682","Work.TestCase","TestCase","Test_shouye","","","点击首页书籍",""
"passed","Wed May 03 13:22:51 CST 2023","Wed May 03 13:23:21 CST 2023","30008","Work.TestCase","TestCase","Test_paihangbang","","","点击右侧排行榜按钮",""
"passed","Wed May 03 14:08:53 CST 2023","Wed May 03 14:09:23 CST 2023","30015","Work.TestCase","TestCase","Test_yonghuxinxi","","","点击作品分类",""
"passed","Wed May 03 13:57:53 CST 2023","Wed May 03 13:58:23 CST 2023","30011","Work.TestCase","TestCase","Test_zuojiazhuanqu","","","点击作品分类",""
"passed","Wed May 03 13:20:00 CST 2023","Wed May 03 13:20:04 CST 2023","3329","Work.TestCase","TestCase","Test_not_login","","","未登录时点击反馈留言",""
"passed","Wed May 03 13:55:53 CST 2023","Wed May 03 13:56:23 CST 2023","30008","Work.TestCase","TestCase","Test_zuojiazhuanqu","","","点击作品分类",""
"passed","Wed May 03 13:25:52 CST 2023","Wed May 03 13:26:22 CST 2023","30011","Work.TestCase","TestCase","Test_paihangbang","","","点击书籍的类别按钮",""
"passed","Wed May 03 13:51:53 CST 2023","Wed May 03 13:52:23 CST 2023","30009","Work.TestCase","TestCase","Test_zuojiazhuanqu","","","点击作品分类",""
"passed","Wed May 03 13:33:22 CST 2023","Wed May 03 13:33:52 CST 2023","30003","Work.TestCase","TestCase","Test_chongzhi","","","点击作品分类",""
"passed","Wed May 03 13:26:22 CST 2023","Wed May 03 13:26:52 CST 2023","30011","Work.TestCase","TestCase","Test_paihangbang","","","点击书籍的标题",""
"passed","Wed May 03 13:21:40 CST 2023","Wed May 03 13:21:43 CST 2023","3373","Work.TestCase","TestCase","Test_shouye","","","点击下方最新更新中的类别",""
"passed","Wed May 03 13:54:23 CST 2023","Wed May 03 13:54:53 CST 2023","30009","Work.TestCase","TestCase","Test_zuojiazhuanqu","","","点击作品分类",""
"passed","Wed May 03 13:30:22 CST 2023","Wed May 03 13:30:52 CST 2023","30002","Work.TestCase","TestCase","Test_chongzhi","","","点击作品分类",""
"passed","Wed May 03 13:22:01 CST 2023","Wed May 03 13:22:06 CST 2023","5365","Work.TestCase","TestCase","Test_quanbuzuopin","","","点击作品分类",""
"passed","Wed May 03 13:19:55 CST 2023","Wed May 03 13:20:00 CST 2023","5562","Work.TestCase","TestCase","Test_not_login","","","未登录时点击加入书架",""
"passed","Wed May 03 13:28:52 CST 2023","Wed May 03 13:29:22 CST 2023","30014","Work.TestCase","TestCase","Test_chongzhi","","","点击作品分类",""
"passed","Wed May 03 14:07:53 CST 2023","Wed May 03 14:08:23 CST 2023","30004","Work.TestCase","TestCase","Test_yonghuxinxi","","","点击作品分类",""
"passed","Wed May 03 13:27:52 CST 2023","Wed May 03 13:28:22 CST 2023","30001","Work.TestCase","TestCase","Test_chongzhi","","","点击作品分类",""
"passed","Wed May 03 14:13:54 CST 2023","Wed May 03 14:14:24 CST 2023","30015","Work.TestCase","TestCase","Test_yonghuxinxi","","","点击作品分类",""
"passed","Wed May 03 14:17:24 CST 2023","Wed May 03 14:17:54 CST 2023","30001","Work.TestCase","TestCase","Test_yonghuxinxi","","","点击作品分类",""
"passed","Wed May 03 13:28:22 CST 2023","Wed May 03 13:28:52 CST 2023","30002","Work.TestCase","TestCase","Test_chongzhi","","","点击作品分类",""
"passed","Wed May 03 14:26:24 CST 2023","Wed May 03 14:27:24 CST 2023","60006","Work.TestCase","TestCase","Test_shujiyuedu","","","点击作品分类",""
"passed","Wed May 03 14:05:23 CST 2023","Wed May 03 14:05:53 CST 2023","30011","Work.TestCase","TestCase","Test_yonghuxinxi","","","点击作品分类",""
"passed","Wed May 03 14:31:24 CST 2023","Wed May 03 14:32:24 CST 2023","60015","Work.TestCase","TestCase","Test_shujiyuedu","","","点击作品分类",""
"passed","Wed May 03 13:32:52 CST 2023","Wed May 03 13:33:22 CST 2023","30000","Work.TestCase","TestCase","Test_chongzhi","","","点击作品分类",""
"passed","Wed May 03 14:10:23 CST 2023","Wed May 03 14:10:53 CST 2023","30005","Work.TestCase","TestCase","Test_yonghuxinxi","","","点击作品分类",""
"passed","Wed May 03 14:13:24 CST 2023","Wed May 03 14:13:54 CST 2023","30010","Work.TestCase","TestCase","Test_yonghuxinxi","","","点击作品分类",""
"passed","Wed May 03 13:19:48 CST 2023","Wed May 03 13:19:52 CST 2023","3351","Work.TestCase","TestCase","Test_not_login","","","未登录时进入充值模块",""
"passed","Wed May 03 13:21:14 CST 2023","Wed May 03 13:21:17 CST 2023","3330","Work.TestCase","TestCase","Test_shouye","","","点击首页书籍",""
"passed","Wed May 03 13:39:22 CST 2023","Wed May 03 13:39:52 CST 2023","30008","Work.TestCase","TestCase","Test_chongzhi","","","点击作品分类",""
"passed","Wed May 03 14:28:24 CST 2023","Wed May 03 14:29:24 CST 2023","60004","Work.TestCase","TestCase","Test_shujiyuedu","","","点击作品分类",""
"passed","Wed May 03 14:23:24 CST 2023","Wed May 03 14:24:24 CST 2023","60008","Work.TestCase","TestCase","Test_shujiyuedu","","","点击作品分类",""
