INFO     root:base_page.py:11 元素定位 元素文本：82.90万  元素定位方式：('xpath', '/html/body/div[2]/div[2]/div/table/tbody/tr[9]/td[6]')
INFO     root:base_page.py:11 元素定位 元素文本：83.51万  元素定位方式：('xpath', '/html/body/div[2]/div[2]/div/table/tbody/tr[10]/td[6]')
INFO     root:base_page.py:11 元素定位 元素文本：54.13万  元素定位方式：('xpath', '/html/body/div[2]/div[2]/div/table/tbody/tr[11]/td[6]')
INFO     root:base_page.py:11 元素定位 元素文本：52.17万  元素定位方式：('xpath', '/html/body/div[2]/div[2]/div/table/tbody/tr[12]/td[6]')
INFO     root:base_page.py:11 元素定位 元素文本：98.55万  元素定位方式：('xpath', '/html/body/div[2]/div[2]/div/table/tbody/tr[13]/td[6]')
INFO     root:base_page.py:11 元素定位 元素文本：50.13万  元素定位方式：('xpath', '/html/body/div[2]/div[2]/div/table/tbody/tr[14]/td[6]')
INFO     root:base_page.py:11 元素定位 元素文本：64.14万  元素定位方式：('xpath', '/html/body/div[2]/div[2]/div/table/tbody/tr[15]/td[6]')
INFO     root:base_page.py:11 元素定位 元素文本：52.32万  元素定位方式：('xpath', '/html/body/div[2]/div[2]/div/table/tbody/tr[16]/td[6]')
INFO     root:base_page.py:11 元素定位 元素文本：69.01万  元素定位方式：('xpath', '/html/body/div[2]/div[2]/div/table/tbody/tr[17]/td[6]')
INFO     root:base_page.py:11 元素定位 元素文本：71.54万  元素定位方式：('xpath', '/html/body/div[2]/div[2]/div/table/tbody/tr[18]/td[6]')
INFO     root:base_page.py:11 元素定位 元素文本：74.27万  元素定位方式：('xpath', '/html/body/div[2]/div[2]/div/table/tbody/tr[19]/td[6]')
INFO     root:base_page.py:11 元素定位 元素文本：52.13万  元素定位方式：('xpath', '/html/body/div[2]/div[2]/div/table/tbody/tr[20]/td[6]')
INFO     root:base_page.py:20 点击
INFO     root:base_page.py:11 元素定位 元素文本：100万字以上  元素定位方式：('xpath', '/html/body/div[2]/div[1]/div/ul/li[4]/a[5]')
INFO     root:base_page.py:11 元素定位 元素文本：117.78万  元素定位方式：('xpath', '/html/body/div[2]/div[2]/div/table/tbody/tr[1]/td[6]')
INFO     root:base_page.py:11 元素定位 元素文本：114.38万  元素定位方式：('xpath', '/html/body/div[2]/div[2]/div/table/tbody/tr[2]/td[6]')
INFO     root:base_page.py:11 元素定位 元素文本：112.93万  元素定位方式：('xpath', '/html/body/div[2]/div[2]/div/table/tbody/tr[3]/td[6]')
INFO     root:base_page.py:11 元素定位 元素文本：103.35万  元素定位方式：('xpath', '/html/body/div[2]/div[2]/div/table/tbody/tr[4]/td[6]')
INFO     root:base_page.py:11 元素定位 元素文本：112.25万  元素定位方式：('xpath', '/html/body/div[2]/div[2]/div/table/tbody/tr[5]/td[6]')
INFO     root:base_page.py:11 元素定位 元素文本：101.79万  元素定位方式：('xpath', '/html/body/div[2]/div[2]/div/table/tbody/tr[6]/td[6]')
INFO     root:base_page.py:11 元素定位 元素文本：105.50万  元素定位方式：('xpath', '/html/body/div[2]/div[2]/div/table/tbody/tr[7]/td[6]')
INFO     root:base_page.py:11 元素定位 元素文本：107.11万  元素定位方式：('xpath', '/html/body/div[2]/div[2]/div/table/tbody/tr[8]/td[6]')
INFO     root:base_page.py:11 元素定位 元素文本：119.17万  元素定位方式：('xpath', '/html/body/div[2]/div[2]/div/table/tbody/tr[9]/td[6]')
INFO     root:base_page.py:11 元素定位 元素文本：107.24万  元素定位方式：('xpath', '/html/body/div[2]/div[2]/div/table/tbody/tr[10]/td[6]')
INFO     root:base_page.py:11 元素定位 元素文本：115.53万  元素定位方式：('xpath', '/html/body/div[2]/div[2]/div/table/tbody/tr[11]/td[6]')
INFO     root:base_page.py:11 元素定位 元素文本：112.10万  元素定位方式：('xpath', '/html/body/div[2]/div[2]/div/table/tbody/tr[12]/td[6]')
INFO     root:base_page.py:11 元素定位 元素文本：102.87万  元素定位方式：('xpath', '/html/body/div[2]/div[2]/div/table/tbody/tr[13]/td[6]')
INFO     root:base_page.py:11 元素定位 元素文本：117.08万  元素定位方式：('xpath', '/html/body/div[2]/div[2]/div/table/tbody/tr[14]/td[6]')
INFO     root:base_page.py:11 元素定位 元素文本：111.70万  元素定位方式：('xpath', '/html/body/div[2]/div[2]/div/table/tbody/tr[15]/td[6]')
